author,title,date,station,url,mp3_url,story_id
Вадим Панов,Ангел,2014-09-28,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1362&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell//2014/09/01_Vadim_Panov_-_Angel.mp3,1362
"Г. Л. Олди, Марина и Сергей Дяченко",Пламенный мотор (Часть 1),2014-12-03,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1651&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/282_GL_Oldi_Marina_i_Sergey_Dyachenko_-_Plamenniy_Motor_(Chast_1).mp3,1651
Ольга Громыко,Один к двум (Часть 2),2013-06-19,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1643&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/274_Olga_Gromyko_-_Odin_k_dvum_(Chast_2).mp3,1643
Урсула Ле Гуин,Направление пути,2013-09-29,Научная педагогическая библиотека имени К. Д. Ушинского,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1353&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2013/09/03_Ursula_Le_Guin_-_Napravlenie_dorogi.mp3,1353
Татьяна Кигим,В Америке секса нет (фрагмент),2013-09-29,Научная педагогическая библиотека имени К. Д. Ушинского,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1352&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2013/09/02_Tatyana_Kigim_-_V_Amerike_seksa_net_(fragmenti).mp3,1352
Александр Бачило,Приправа,2013-09-29,Научная педагогическая библиотека имени К. Д. Ушинского,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1351&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2013/09/01_Aleksandr_Bachilo_-_Priprava.mp3,1351
Михаил Кликин,Консервы (Часть 1),2013-11-14,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1644&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/275_Mihail_Klikin_-_Konservy_(Chast_1).mp3,1644
Михаил Кликин,Консервы (Часть 2),2013-11-20,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1645&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/276_Mihail_Klikin_-_Konservy_(Chast_2).mp3,1645
Юлиана Лебединская,Творцы и Человеки (Часть 1),2013-11-27,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1646&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/277_Yuliana_Lebedinskaya_-_Tvorcy_i_Cheloveki_(Chast_1).mp3,1646
Юлиана Лебединская,Творцы и Человеки (Часть 2),2013-12-04,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1647&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/278_Yuliana_Lebedinskaya_-_Tvorcy_i_Cheloveki_(Chast_2).mp3,1647
Олег Дивов,Боги войны,2014-01-19,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1355&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/01/02_Oleg_Divov_-_Bogi_vojni.mp3,1355
Иван Давыдов,Смерть гимнософиста,2014-01-19,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1354&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/01/01_Ivan_Davidov_-_Smert_gimnosofista.mp3,1354
Олег Кожин,Сучёныш (Часть 1),2014-03-07,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1648&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/279_Oleg_Kozhin_-_Suchyonysh_(Chast_1).mp3,1648
Олег Кожин,Сучёныш (Часть 2),2014-03-14,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1649&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/280_Oleg_Kozhin_-_Suchyonysh_(Chast_2).mp3,1649
Пол Ди Филиппо,Волновик,2014-03-23,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1358&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/03/03_Pol_Di_Filippo_-_Volnovik.mp3,1358
Тим Скоренко,Господин Одиночество (Часть 1),2013-04-03,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1631&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/262_Tim_Skorenko_-_Gospodin_Odinochestvo_(Chast_1).mp3,1631
